Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
2022,3,1395277,6031970,2871541,55711,23523
2022,2,1468333,5979214,2723285,556243,231609
2022,1,1533240,6073426,2219533,545814,251996
2021,4,1657615,5984240,2072236,523107,252596
2021,3,1950631,5826257,1566048,492415,25019
2021,2,2018587,5641731,1472246,476968,253552
2021,1,2175211,5424782,1362976,434548,250455
2020,4,2213949,5371824,1311199,421554,253036
2020,3,2263889,5259351,1170879,413259,248821
2020,2,2295533,5005115,1106725,376667,247016
2020,1,2299457,4903674,1047817,352333,209145
2019,4,2414575,4883869,941295,340144,213298
2019,3,2909805,4800091,852221,338241,264326
2019,2,2990457,4635575,760794,308027,265328
2019,1,3132789,4435439,637099,276419,166389
2018,4,3329027,4313831,388013,264299,178485
2018,3,3521447,4238171,247366,246181,9387
2018,2,3557216,4038141,226285,194267,94535
2018,1,3574294,3981129,217460,1653,9887
2017,4,3584311,3818157,211425,155775,100554
2017,3,3622575,3670221,193964,106443,13174
2017,2,3723518,3383434,180777,85813,56122
2017,1,3708898,3276251,180146,84813,55746
2016,4,3722794,3210602,178070,85119,55088
2016,3,3776442,3124855,169898,81455,543
2016,2,3782085,3035272,167788,85452,59482
2016,1,3792493,2806359,164371,8537,58763
2015,4,3803024,2898226,139187,85726,58668
2015,3,3788696,2840203,162663,8453,58976
2015,2,3767821,2756294,150839,82077,59157
2015,1,3756153,2668248,168188,79098,66045
2014,4,3764038,2536219,149682,76984,71573
2014,3,3714764,2569868,155494,85096,70049
2014,2,3708882,2461670,149363,72405,72148
2014,1,3697066,2407330,150323,70749,7293
